Participant ID,First Name,Last Name,Employer ID,Email,Employer Site Region,Employer Site ID,Employer Site,Employer City,Hire Date,Start Date,Withdraw Date,Withdraw Reason
96,Iga,Isaac,test_employer,isa@example.com,Fraser,7777,Alpaca Medical,Victoria,2020/11/18,2020/12/02,,
96,Iga,Isaac,test_employer,isa@example.com,Fraser,7777,Alpaca Medical,Victoria,2021/03/20,2021/04/07,,
14,Della,Douglas,test_employer,doug@test.bc.gov,Fraser,1111,Oceanside Hospital,Victoria,2020/06/29,2020/07/26,,
72,Gavin,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/09/09,2021/09/16,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,4444,Mongoose Care Centre,Victoria,2020/08/29,2020/09/26,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/08/24,2021/08/29,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/04/05,2021/04/28,,
37,Emile,Everready,test_employer,em1990@test.ca,Fraser,4444,Mongoose Care Centre,Victoria,2021/07/06,2021/07/31,,
50,Grant,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,4444,Mongoose Care Centre,Victoria,2022/02/17,2022/02/22,,
26,Emma,Everready,test_employer,em1990@test.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
28,Gabriel,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
87,Nuri,Northern,test_employer,nan@test.com,Fraser,7777,Alpaca Medical,Victoria,2022/03/08,2022/03/25,,
77,Amanda,Alliteration,test_employer,alli@example.com,Fraser,7777,Alpaca Medical,Victoria,2022/02/28,2022/03/03,,
11,Alison,Alliteration,test_employer,alli@example.com,Fraser,4444,Mongoose Care Centre,Victoria,2020/02/22,2020/02/24,,
77,Amanda,Alliteration,test_employer,alli@example.com,Fraser,1111,Oceanside Hospital,Victoria,2022/04/11,2022/05/02,,
27,Finnick,Foo,test_employer,foo@test.com,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
68,Clementine,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2022/09/11,2022/09/15,,
59,Ella,Everready,test_employer,em1990@test.ca,Fraser,1111,Oceanside Hospital,Victoria,2022/04/06,2022/04/22,,
68,Clementine,Callback,test_employer,cindy@example.ca,Fraser,4444,Mongoose Care Centre,Victoria,2020/02/08,2020/02/26,,
