Participant ID,First Name,Last Name,Employer ID,Email,Employer Site Region,Employer Site ID,Employer Site,Employer City,Hire Date,Start Date,Withdraw Date,Withdraw Reason
11,Alison,Alliteration,test_employer,alli@example.com,Fraser,4444,Mongoose Care Centre,Victoria,2020/02/22,2020/02/24,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/04/05,2021/04/28,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/08/24,2021/08/29,,
35,Collin,Callback,test_employer,cindy@example.ca,Fraser,4444,Mongoose Care Centre,Victoria,2020/08/29,2020/09/26,,
35,Collin,Callback,test_employer,cindy@example.ca,Northern,2222,Home Sweet Home,Prince Rupert,2020/01/19,2020/02/07,,
38,Finn,Foo,test_employer,foo@test.com,Interior,5151,Spreadsheet Care,Osoyoos,2020/12/08,2020/12/16,,
26,Emma,Everready,test_employer,em1990@test.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
40,Hudson,Hux,test_employer,hux123@example.com,Interior,5151,Spreadsheet Care,Osoyoos,2020/09/30,2020/10/08,,
50,Grant,Gusto,test_employer,gem@gemma.gusto.ca,Northern,2222,Home Sweet Home,Prince Rupert,2021/05/15,2021/06/02,,
50,Grant,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,4444,Mongoose Care Centre,Victoria,2022/02/17,2022/02/22,,
56,Barry,Burger,test_employer,bob.burger@test.com,Interior,3333,Sample Site,Kamloops,2022/07/27,2022/08/12,,
27,Finnick,Foo,test_employer,foo@test.com,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
28,Gabriel,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/03/01,2021/03/05,,
31,Jupiter,Jenkins,test_employer,jj@test.com,Interior,5151,Spreadsheet Care,Osoyoos,2020/10/04,2020/10/27,,
37,Emile,Everready,test_employer,em1990@test.ca,Fraser,4444,Mongoose Care Centre,Victoria,2021/07/06,2021/07/31,,
59,Ella,Everready,test_employer,em1990@test.ca,Fraser,1111,Oceanside Hospital,Victoria,2022/04/06,2022/04/22,,
59,Ella,Everready,test_employer,em1990@test.ca,Northern,2222,Home Sweet Home,Prince Rupert,2021/08/15,2021/08/26,,
78,Beth,Burger,test_employer,bob.burger@test.com,Northern,2222,Home Sweet Home,Prince Rupert,2020/07/06,2020/08/03,,
72,Gavin,Gusto,test_employer,gem@gemma.gusto.ca,Fraser,1111,Oceanside Hospital,Victoria,2021/09/09,2021/09/16,,
72,Gavin,Gusto,test_employer,gem@gemma.gusto.ca,Interior,3333,Sample Site,Kamloops,2022/08/08,2022/09/04,,
77,Amanda,Alliteration,test_employer,alli@example.com,Fraser,1111,Oceanside Hospital,Victoria,2022/04/11,2022/05/02,,
77,Amanda,Alliteration,test_employer,alli@example.com,Fraser,7777,Alpaca Medical,Victoria,2022/02/28,2022/03/03,,
68,Clementine,Callback,test_employer,cindy@example.ca,Fraser,4444,Mongoose Care Centre,Victoria,2020/02/08,2020/02/26,,
68,Clementine,Callback,test_employer,cindy@example.ca,Fraser,1111,Oceanside Hospital,Victoria,2022/09/11,2022/09/15,,
76,Nehemiah,Northern,test_employer,nan@test.com,Interior,3333,Sample Site,Kamloops,2021/10/21,2021/11/04,,
87,Nuri,Northern,test_employer,nan@test.com,Fraser,7777,Alpaca Medical,Victoria,2022/03/08,2022/03/25,,
94,Giacomo,Gusto,test_employer,gem@gemma.gusto.ca,Interior,3333,Sample Site,Kamloops,2020/10/01,2020/10/27,,
96,Iga,Isaac,test_employer,isa@example.com,Fraser,7777,Alpaca Medical,Victoria,2021/03/20,2021/04/07,,
96,Iga,Isaac,test_employer,isa@example.com,Fraser,7777,Alpaca Medical,Victoria,2020/11/18,2020/12/02,,
14,Della,Douglas,test_employer,doug@test.bc.gov,Fraser,1111,Oceanside Hospital,Victoria,2020/06/29,2020/07/26,,
0,,,test_employer,,Interior,3333,Sample Site,Kamloops,2020/07/14,2020/07/21,,
